web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1562682017-648","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cody C.","Pixel but 1/2 price","June 27, 2019","Great bang for buck","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1562682113-745","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Brad Dangerous","Pixel for the win!","June 16, 2019","This phone is great. An amazing pure Android experience and a great value for the money. I love pixel!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1562682104-728","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Knightman","The right phone for many of us","June 9, 2019","I didn’t need my pixel 3a.  I had a Huawei mate 10 Pro which I got a good deal on.  What prompted me to change was that my wife wanted a phone with a better camera,  and I like the idea of guaranteed updates for 3 years.  My wife took my mate 10 Pro and I bought a pixel 3a for $399 with a $100 gift card to a store I shop often enough at to make the price for me $299 actual.

Likes:

Screen: it is a slightly above full HD screen with it being 5.6 Inch the pixels are packed tight.  I have heard some say the screen is a bit oversaturated and I am inclined to believe it.  Still, though pixel 3a has a  very sharp OLED display.  I still like my mate more even though it is not as sharp.

Performance: with a 670 snapdragon, that is about as powerful as an 835 from a couple of years ago, the performance is good.  I just realistically, can’t believe many folks would complain about this.  Storage is adequate with 64 GB.

Camera: I am not a camera pro or anywhere close.  I appreciate a good camera on a phone because it makes someone like me look like I know how to take good shots.  This camera achieves that.  I hear all the reviews that rant and rave about the pixel camera and I am just not much a camera guy to know what it all means but at the end of the day it takes good looking photos.

OS:  I have used many phones with their own Android skin on top, and it feels refreshing to use a phone with stock android.  The experience is good and I enjoy the simple user experience.

Battery life: Great.  I charge my phone every 2 days and I could probably go to 2.5 or possibly more without charging.  I use my phone lightly throughout the day.

Neutral:

Design:  the pixel 3a has a vanilla design.  It is long with large for today’s standards lower and upper bezels.  The phone is not ugly just not exciting either.  It reminds me of the older iPhone models that were not exciting compared to other phones but worked well and didn’t look unattractive either.

Build:  The phone is made of polycarbonate (plastic) which is not a problem for me, but I have used phones with better builds at this same price range. The back picks up smears easily.

Features:  there is no wireless charging, which is not a huge deal for me because I have only 1 phone with it and never used it. No waterproofing is a bummer but again not major it just means during a heavy rainstorm I have to be careful.

Dislike:
Screen rotation:  must have got the software from Sony because my biggest annoyance is the screen rotation.  When I am using my phone in portrait mode, sometimes it will just auto-rotate to landscape-way too sensitive.  I know I can turn auto-rotate off but I am used to using it.

No, hide the navigation bar:  on my mate phone, I was able to hide the nav bar when browsing which gave me extra screen real estate.

Conclusion:

I like the phone it has the early iPhone feel I mentioned earlier with just being simple to use and vanilla looking.  I like that this is a first party phone and works with other Android compatible products pretty seamlessly.  If you are like me and have used many different brands you know of the perks I have having your phone just being compatible with all things.  Nothing worse than getting the phone you want then having it be incompatible with your smartwatch, or android auto.  Stock apps just worked out of the box, like visual voice mail.  I have a pixel slate and do not suffer any glitches when linking my pixel 3s like when I would link my mate 10 Pro.  For an average everyday user, there is nothing to dislike.  It is probably not a phone for someone who wants the most premium high-end phones with the latest greatest but it does offer a focal point for those of us that want a nice phone but don’t want to break the bank.
The problem with Android, in my opinion, has been oversaturation.  There are a lot of nice phones but finding ones that work on your network, work with all features in your country and other compatibility issues can be an exercise in frustration.  The pixel 3a is a brand name phone with a mid-range price that can help with people feeling overwhelmed when shopping for a phone.  There are certainly better-looking phones, better priced, better specs, nothing but the pixel 3a puts a lot of features you want in a recognized name brand without emptying your wallet.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1562682093-712","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Nice big phone for calling, photos too","June 21, 2019","Phone works great, only had it a week battery like is great. Large screen, I thought speaker were great heard someone on speaker phone it was distorted, don't know why. Didn't want to spend this much, I am hoping I don't run out of storage since you can't put an sd card in for storage. Very fast, nice phone on consumer Cellular. Works great so far.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1562682002-609","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","NOVA John","Bought it on the day Google announced it","May 17, 2019","I've never spent more than $200 on average for a phone.  I paid the price with suspect quality, since I mainly bought new Android phones for that price range.  Every phone didn't last more than two years, most even started to have issues after a few months (i.e. GPS losing accuracy, charging slot losing contact, etc.)  Of course the OS never gets updated so you set yourself up to be hacked on an old, unpatched release.  The worst is the camera varying degrees of terrible.  So I bought a prepaid iPhone 6 about 1.5 years ago but you know how well iOS runs on old hardware and it will probably not make the jump to the next update.

No matter how much I tried to convince myself, I just couldn't buy a new XR, even after I sold my DSLR (b/c I just never bring it with me no matter how good the pictures/lens is/was).  However, when Google launched this phone, my last international family trip convinced me that I need to jump at the chance - pictures you have forever, you want the best camera/phone to capture your experiences.  Plus, they are offering an insane $250 trade-in for my iPhone and $100 from the Google store credit, plus my company is giving me $100 for BYOD, so the phone is essentially free to me.

Ordering was flawless, plus they (I ordered from the Google Store) provided a trade-in kit at the same time.  I got it in 2 days after Google announced it.  Box was your typical white box, looks almost exactly like a Apple box with color, design, packaging, etc.  Phone powered right up.  Slight hiccup to get it activated on Sprint in that you can't just move the nano SIM card over, you have to go to a Sprint store and activate a completely new SIM.  Also make sure it's a corporate store b/c affiliates don't seem to have these SIMs.  I went to Best Buy and they had me running in 20 minutes.

Phone is awesome.  I got the XL and it's large but for a person who wears glasses it just makes it easier to do things.  I know people say it's not fast but I don't game or edit videos so it's plenty fast/responsive.  Most importantly, the camera is awesome.  Photos are not blurry so far and super clear.  I haven't even used any of the special portrait and night options.  I'm telling you if a camera can take low light photos that is golden and why I jumped at it.  Even with a DSLR it's a challenge trying to take low light photos (do you have the right lens with a large aperture but then you can't have zoom, etc.)

It seems pretty fragile so I'm going to get some sort of case, especially since it's plastic and the case is not removable.  However, make sure you get a full case and not a case that just clips on the edges.  I made the mistake of buying one for my iPhone and sand/dirt got wedged in and ended up scratching the phone itself.  The Android OS is quite a bit different than iOS but I'm coping.  Can't say it's worst, just different.  The best part is the it being a Google phone will get updated for at least 3 years.  I have no big input on the exterior design of the outside, really all phones look the same - we have Apple to blame for that.  The fingerprint unlock is a huge plus and love it for all my iPads, computers.

Very pleased so far (will update if that changes).  Since this phone is free to me, I plan to use my $100 Google store credit to buy another Pixel 3a for my wife.  She has a 2 year old Huawei Honor 8 that has held up pretty well, aside from every government in the world banning them.

Update after 1 month
Best phone I've ever had.  Best camera I've ever had bar none, better than any Canon/Nikon DSLR I've had, etc.  I've take pictures from moving buses, etc. and each pictures looks like a million bucks...the first time.  I've used the camera for some professional portrait quality pictures.  Battery life is great.  I have had some data disconnection problems but not sure if it's a Sprint problem or otherwise but only happened a few times.  I'll monitor to see if it is a real issue.  I did end up buying a second 3a XL for spouse and she loves it too, still waiting for my google credit though...","5.0 out of 5 stars","",""
"1562682093-713","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Luis O.","Awesome battery life","July 4, 2019","Probably the best phone I have ever had. Been using it one week and the battery life is awesome. One full charge lasts me almost 2 full days with decent usage. No bloatware and phone runs just as good as my previous Samsung Note8 phone (which cost me $1K). This phone was $500 but can keep up with higher flagship phones. I would recommend this phone to everyone.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1562682076-694","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Lenny","Great camera, clean software, adequate phone","June 11, 2019","The main reason for getting this phone is the camera. The hardware itself is not that amazing, it's Google's software that makes it spectacular. A $400 phone having a camera this good is incredible.

The other reason for getting this phone is the pure Android experience. I don't care for most skins and custom UIs. Most manufacturers, however, seem to have learned that less is more when it comes to customizing the Android UI for their phones, so this is less of an issue today than it was in years past.  Having Google's guarantee of software updates is also very important to me.

One other nice feature of the phone is that it has a headphones jack, but no longer has a notification light. I'm somewhat irked by the lack of a notification light, since there's ample space on the bezel for one.

Features I'd like to have but find acceptable to be missing in a $400 phone: no wireless charging, no waterproof certification, no extra camera lenses.

What I don't quite care for on the phone: slow fingerprint reader, only 4GB of RAM.

Comparing this phone to a 2.5 year old OnePlus 3T:

1. Fingerprint reader is much faster on the 3T

2. Performance on T-Mobile is about the same as on the 3T (I moved the same SIM over to the Pixel 3a) despite the 3T lacking bands 66 and 71. It might be slightly better in some situations. For example, while I occasionally lose mobile Internet on my 3T at work (despite it saying I have LTE), I haven't encountered the same problem on the 3a.

3. Does not show ""LTE+"" for Carrier Aggregation. Not a big deal, but it's nice to know.

4. Works well most of the time, at least keeping up with the 3T. But would occasionally stutter, and would unload applications in the background more often than on the 3T (the 3T has 6GB of RAM)

In fact, it feels VERY similar to the Xiaomi Mi A1, which has Android One. The Xiaomi is about 1.5 years old, and costs half the price, and they managed to include an extra 2x optical zoom lens for the rear camera. The main drawback of the Xiaomi is that it doesn't have most of the US LTE bands, so you're stuck with 3G mobile Internet most of the time.

I was quite excited to get and use my OnePlus One, and later OnePlus 3T. This phone doesn't generate the same excitement. After using it for about 3 weeks, I find it to be an adequate phone but not amazing, except for its camera. I'd still use my DSLR for any serious photos, but it is good to know that I have a very capable picture taker in my pocket all the time.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1562682013-640","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SavageOhio","Great phone!","June 25, 2019","My son upgraded to this phone and so far he really likes the capabilities and functionality.  Great phone for the ""budget"" price.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1562682017-647","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","The best budget phone","June 22, 2019","It's best budget phone and an alternative option than Motorola G line up for stack android.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1562682022-654","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jackie","Good job Google pixel 3a","July 7, 2019","Very nice phone , good prices and easy to use, beautiful oled screen to watch a movie and game s much better than my iPhone 7p . battery life is good, enough for normal one day use.standby battery lost 1.5 % a hour. iPhone 7p standby battery lost 0.5% a hour. If pixel3a standby battery like iPhone,that would be perfect.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
